ID	HiSST	HiSST.profile
BB37	62	11-11-36
BWD-48-1326	62	11-11-36
BWD-48-1330	62	11-11-36
BWD-49-1326	62	11-11-36
BB36	62	11-11-36
BB7	18	17-17-13
BB8	18	17-17-13
BB24	47	17-17-32
BWD-64-1264	19	2-18-2
BD-72-0035	19	2-18-2
WD-64-9295-Sm1	2	2-2-2
BD-80-0028	2	2-2-2
BWD-64-1278	2	2-2-2
WD-80-0014	2	2-2-2
WD-80-9288-Sm2	2	2-2-2
BD-80-0014	2	2-2-2
BD-80-0042	2	2-2-2
BWD-64-1271	2	2-2-2
WD-63-0014	2	2-2-2
BD-63-0028	2	2-2-2
BWD-64-1236	2	2-2-2
BWD-64-1250	2	2-2-2
BWD-64-1243	2	2-2-2
WD-64-0028	2	2-2-2
WD-80-0042	2	2-2-2
WD-63-0028	2	2-2-2
WD-80-9288-Sm3	2	2-2-2
WD-63-0042	2	2-2-2
BWD-64-1257	2	2-2-2
BWD-61-1313	2	2-2-2
BD-63-0014	2	2-2-2
BWD-61-1330	2	2-2-2
WD-63-9295-Sm	2	2-2-2
BD-64-0042	2	2-2-2
WD-80-0028	2	2-2-2
WD-64-0042	2	2-2-2
BWD-80-2028	2	2-2-2
BWD-61-1326	2	2-2-2
BWD-80-1326	2	2-2-2
BD-63-0042	2	2-2-2
BWD-55-1306	NA	2-9-6
BWD-53-1278	NA	2-ASV_gabR_10-2
BWD-53-1250	NA	2-ASV_gabR_10-2
BWD-53-1229	NA	2-ASV_gabR_10-2
BWD-18-1313	NA	2-ASV_gabR_13-2
WD-80-9288-Sm1	NA	2-ASV_gabR_62-2
BB23	49	21-43-15
BWD-60-1326	NA	21-58-2
BWD-60-1330	NA	21-58-2
BB45	66	21-58-31
BB56	66	21-58-31
BB54	66	21-58-31
BB44	66	21-58-31
BB9	50	23-47-34
BB40	64	23-57-4
BWD-62-2028	59	25-53-6
BWD-55-1250	59	25-53-6
BWD-62-1330	59	25-53-6
BWD-55-1250-Sm3	59	25-53-6
BWD-55-1285	59	25-53-6
BB31	59	25-53-6
BWD-62-1313-Sm1	59	25-53-6
BWD-62-1326	59	25-53-6
BB42	59	25-53-6
BWD-55-1278	59	25-53-6
BB33	59	25-53-6
BWD-47-1349	59	25-53-6
BWD-60-1313	NA	25-58-6
BWD-55-1292	NA	25-9-6
BWD-73-1292	NA	36-18-2
BD-72-0021	NA	36-18-2
BWD-73-1250	NA	36-18-2
WD-72-0035	NA	36-18-2
BD-73-0035	NA	36-18-2
BWD-73-1229	NA	36-18-2
WD-73-0035	NA	36-18-2
WD-72-0021	NA	36-18-2
BD-73-0021	NA	36-18-2
WD-73-0021	NA	36-18-2
WD-72-9295-Sm1	NA	36-18-2
WD-72-9295-Sm2	NA	36-18-2
BWD-73-1278	NA	36-18-2
BWD-72-1250	NA	36-18-2
BWD-72-1278	NA	36-18-2
BWD-72-1229	NA	36-18-2
WD-72-0049	NA	36-18-2
BWD-73-1301	NA	36-18-2
BD-72-0049	NA	36-18-2
BWD-HWSr-1264	NA	36-2-2
BD-HWSs-0035	NA	36-2-2
WD-HWSs-0035	NA	36-2-2
BWD-HWSr-1236	NA	36-2-2
BWD-HWSr-1250	NA	36-2-2
BWD-HWSs-1271	NA	36-2-2
BWD-HWSr-1278	NA	36-2-2
BWD-HWSs-1278	NA	36-2-2
WD-HWSs-0049	NA	36-2-2
BWD-HWSs-1243	NA	36-2-2
BWD-HWSr-1229	NA	36-2-2
BWD-HWSs-1250	NA	36-2-2
BWD-HWSr-1271	NA	36-2-2
BWD-HWSs-1229	NA	36-2-2
BWD-HWSs-1236	NA	36-2-2
BWD-HWSs-1264	NA	36-2-2
BD-HWSs-0049	NA	36-2-2
BWD-HWSr-1243	NA	36-2-2
BWD-HWSs-1326	NA	36-2-2
BWD-HWSr-1257	NA	36-2-2
BWD-HWSs-1257	NA	36-2-2
BB4	46	37-35-6
BB2	46	37-35-6
BB5	46	37-35-6
BD1b-2wD	46	37-35-6
BB3	46	37-35-6
BB1	46	37-35-6
BB13	51	37-9-6
BB14	51	37-9-6
BB11	51	37-9-6
BB15	51	37-9-6
WD-55-0042	51	37-9-6
