HiSST	bssA	dhaM	gabR
62	11	36	11
62	11	36	11
62	11	36	11
62	11	36	11
62	11	36	11
18	17	13	17
18	17	13	17
47	17	32	17
19	2	2	18
19	2	2	18
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
49	21	15	43
66	21	31	58
66	21	31	58
66	21	31	58
66	21	31	58
50	23	34	47
64	23	4	57
59	25	6	53
59	25	6	53
59	25	6	53
59	25	6	53
59	25	6	53
59	25	6	53
59	25	6	53
59	25	6	53
59	25	6	53
59	25	6	53
59	25	6	53
59	25	6	53
46	37	6	35
46	37	6	35
46	37	6	35
46	37	6	35
46	37	6	35
46	37	6	35
51	37	6	9
51	37	6	9
51	37	6	9
51	37	6	9
51	37	6	9
51	37	6	9
51	37	6	9
51	37	6	9
51	37	6	9
51	37	6	9
51	37	6	9
7	4	4	7
7	4	4	7
7	4	4	7
7	4	4	7
52	41	30	45
52	41	30	45
48	42	6	35
48	42	6	35
53	43	33	44
53	43	33	44
54	44	26	48
54	44	26	48
55	45	31	43
70	45	15	60
56	46	20	50
57	5	4	52
60	53	33	54
60	53	33	54
61	54	35	55
61	54	35	55
63	55	37	56
65	56	15	1
67	57	38	59
71	58	30	61
37	8	19	29
58	9	19	46
e1	2	6	9
e2	2	2	ASV_gabR_10
e2	2	2	ASV_gabR_10
e2	2	2	ASV_gabR_10
e3	2	2	ASV_gabR_13
e4	2	2	ASV_gabR_62
e5	21	2	58
e5	21	2	58
e6	25	6	58
e7	25	6	9
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e8	36	2	18
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e9	36	2	2
e10	38	27	21
e10	38	27	21
e10	38	27	21
e10	38	27	21
e11	4	4	9
e11	4	4	9
e11	4	4	9
e11	4	4	9
e11	4	4	9
e11	4	4	9
e11	4	4	9
e12	ASV_bssA_11	2	6
e13	ASV_bssA_11	22	6
e14	ASV_bssA_7	ASV_dhaM_7	ASV_gabR_13
e14	ASV_bssA_7	ASV_dhaM_7	ASV_gabR_13
