Samples	ST
BD1b-2wD-bssA	ST37
BD0021-172-bssA	ST36
BD0035-172-bssA	ST2
BD0014-152-bssA	ST38
WD0028-180-bssA	ST2
WD0014-152-bssA	ST38
WD0035-172-bssA	ST36
BD0014-155-bssA	ST37
BD0035-173-bssA	ST36
BD0014-180-bssA	ST2
WD0035-173-bssA	ST36
WD0014-180-bssA	ST2
BD0035-PLM-bssA	ST36
WD0021-172-bssA	ST36
WD0035-PLM-bssA	ST36
BD0021-173-bssA	ST36
WD0021-173-bssA	ST36
BD0021-PLM-bssA	ST36
WD0021-PLM-bssA	ST36
BD0028-152-bssA	ST38
BD0028-180-bssA	ST2
WD164-9295-Sm1-bssA	ST2
WD172-9295-Sm1-bssA	ST36
WD172-9295-Sm2-bssA	ST36
WD180-9288-Sm1-bssA	ST2
WD180-9288-Sm2-bssA	ST2
WD180-9288-Sm3-bssA	ST2
WD163-9295-Sm-bssA	ST2
1-BB31-bssA	ST25
1-BB43-bssA	ST54
1-BB32-bssA	ST53
1-BB44-bssA	ST21
1-BB33-bssA	ST25
1-BB45-bssA	ST21
1-BB34-bssA	ST54
1-BB46-bssA	ST57
1-BB35-bssA	ST37
1-BB47-bssA	ST9
1-BB36-bssA	ST11
1-BB48-bssA	ST21
1-BB37-bssA	ST11
1-BB49-bssA	ST21
1-BB38-bssA	ST53
1-BB50-bssA	ST42
1-BB39-bssA	ST55
1-BB51-bssA	ST44
1-BB40-bssA	ST23
1-BB52-bssA	ST8
1-BB41-bssA	ST56
BWD152-1229-bssA	ASV_bssA_11
1-BB42-bssA	ST25
BWD1PLMR-1229-bssA	ST36
BWD164-1229-bssA	ST2
BWD179-1229-bssA	ST4
BWD1PLMS-1229-bssA	ST36
BWD155-1229-bssA	ST25
BWD172-1229-bssA	ST36
BWD173-1229-bssA	ST36
BWD152-1236-bssA	ASV_bssA_11
BWD1PLMR-1264-bssA	ST36
BWD164-1264-bssA	ST2
BWD179-1264-bssA	ST4
BWD1PLMS-1264-bssA	ST36
BWD1PLMR-1271-bssA	ST36
BWD164-1271-bssA	ST2
BWD179-1271-bssA	ST4
BWD1PLMR-1236-bssA	ST36
BWD164-1236-bssA	ST2
BWD179-1236-bssA	ST4
BWD158-1236-bssA	ST4
BWD1PLMR-1243-bssA	ST36
BWD164-1243-bssA	ST2
BWD179-1243-bssA	ST4
BWD1PLMS-1271-bssA	ST36
BWD1PLMR-1278-bssA	ST36
BWD164-1278-bssA	ST2
BWD179-1278-bssA	ST4
BWD1PLMS-1278-bssA	ST36
BWD153-1278-bssA	ST2
BWD155-1278-bssA	ST25
BWD1PLMS-1243-bssA	ST36
BWD1PLMR-1250-bssA	ST36
BWD164-1250-bssA	ST2
BWD1PLMS-1250-bssA	ST36
BWD153-1250-bssA	ST2
BWD155-1250-bssA	ST25
BWD172-1250-bssA	ST36
BWD172-1278-bssA	ST36
BWD173-1278-bssA	ST36
BWD155-1285-bssA	ST25
BWD173-1285-bssA	ST36
BWD155-1292-bssA	ST25
BWD173-1292-bssA	ST36
BWD155-1301-bssA	ST37
BWD173-1250-bssA	ST36
BWD180-1257-bssA	ST2
BWD1PLMR-1257-bssA	ST36
BWD179-1257-bssA	ST4
BWD1PLMS-1257-bssA	ST36
BWD133-1264-bssA	ASV_bssA_7
BWD151-1264-bssA	ASV_bssA_7
BWD173-1301-bssA	ST36
BWD155-1306-bssA	ST2
BWD173-1306-bssA	ST36
BWD118-1313-bssA	ST2
BWD160-1313-bssA	ST25
