Samples	ST
BD1b-2wD-dhaM	ST6
BD0021-172-dhaM	ST2
BD0035-172-dhaM	ST2
BD0014-152-dhaM	ST27
WD0035-173-dhaM	ST2
BD0014-180-dhaM	ST2
BD0035-PLM-dhaM	ST2
WD0014-180-dhaM	ST2
WD0035-PLM-dhaM	ST2
WD0021-172-dhaM	ST2
BD0021-173-dhaM	ST2
WD0021-173-dhaM	ST2
BD0028-152-dhaM	ST27
WD0028-152-dhaM	ST27
BD0028-180-dhaM	ST2
WD0028-180-dhaM	ST2
WD0035-172-dhaM	ST2
BD0035-173-dhaM	ST2
WD180-9288-Sm3-dhaM	ST2
WD163-9295-Sm-dhaM	ST2
WD164-9295-Sm1-dhaM	ST2
WD172-9295-Sm1-dhaM	ST2
WD172-9295-Sm2-dhaM	ST2
WD180-9288-Sm1-dhaM	ST2
WD180-9288-Sm2-dhaM	ST2
1-BB31-dhaM	ST6
1-BB43-dhaM	ST35
1-BB32-dhaM	ST33
1-BB44-dhaM	ST31
1-BB33-dhaM	ST6
1-BB45-dhaM	ST31
1-BB34-dhaM	ST35
1-BB46-dhaM	ST38
1-BB35-dhaM	ST6
1-BB47-dhaM	ST6
1-BB36-dhaM	ST36
1-BB48-dhaM	ST31
1-BB37-dhaM	ST36
1-BB49-dhaM	ST15
1-BB38-dhaM	ST33
1-BB50-dhaM	ST6
1-BB39-dhaM	ST37
1-BB51-dhaM	ST26
1-BB40-dhaM	ST4
1-BB52-dhaM	ST19
1-BB41-dhaM	ST15
BWD152-1229-dhaM	ST2
1-BB42-dhaM	ST6
BWD1PLMR-1229-dhaM	ST2
BWD164-1229-dhaM	ST2
BWD179-1229-dhaM	ST4
BWD1PLMS-1229-dhaM	ST2
BWD155-1229-dhaM	ST6
BWD172-1229-dhaM	ST2
BWD173-1229-dhaM	ST2
BWD152-1236-dhaM	ST22
BWD1PLMR-1264-dhaM	ST2
BWD164-1264-dhaM	ST2
BWD179-1264-dhaM	ST4
BWD1PLMS-1264-dhaM	ST2
BWD1PLMR-1271-dhaM	ST2
BWD164-1271-dhaM	ST2
BWD179-1271-dhaM	ST4
BWD1PLMR-1236-dhaM	ST2
BWD164-1236-dhaM	ST2
BWD179-1236-dhaM	ST4
BWD158-1236-dhaM	ST4
BWD1PLMR-1243-dhaM	ST2
BWD164-1243-dhaM	ST2
BWD179-1243-dhaM	ST4
BWD1PLMS-1271-dhaM	ST2
BWD1PLMR-1278-dhaM	ST2
BWD164-1278-dhaM	ST2
BWD179-1278-dhaM	ST4
BWD1PLMS-1278-dhaM	ST2
BWD153-1278-dhaM	ST2
BWD155-1278-dhaM	ST6
BWD1PLMS-1243-dhaM	ST2
BWD1PLMR-1250-dhaM	ST2
BWD164-1250-dhaM	ST2
BWD1PLMS-1250-dhaM	ST2
BWD153-1250-dhaM	ST2
BWD155-1250-dhaM	ST6
BWD172-1250-dhaM	ST2
BWD172-1278-dhaM	ST2
BWD173-1278-dhaM	ST2
BWD155-1285-dhaM	ST6
BWD173-1285-dhaM	ST2
BWD155-1292-dhaM	ST6
BWD173-1292-dhaM	ST2
BWD155-1301-dhaM	ST6
BWD173-1250-dhaM	ST2
BWD180-1257-dhaM	ST2
BWD1PLMR-1257-dhaM	ST2
BWD179-1257-dhaM	ST4
BWD1PLMS-1257-dhaM	ST2
BWD133-1264-dhaM	ASV_dhaM_7
BWD151-1264-dhaM	ASV_dhaM_7
BWD173-1301-dhaM	ST2
