Samples	ST
BD1b-2wD-gabR	ST35
BD0021-172-gabR	ST18
BD0035-172-gabR	ST18
WD0021-173-gabR	ST18
BD0021-PLM-gabR	ST2
WD0021-PLM-gabR	ST2
BD0028-152-gabR	ST21
WD0028-152-gabR	ST21
BD0028-180-gabR	ST2
BD0014-152-gabR	ST21
WD0028-180-gabR	ST2
BD0014-155-gabR	ST9
WD0035-172-gabR	ST18
BD0014-180-gabR	ST2
BD0035-173-gabR	ST18
WD0014-180-gabR	ST2
WD0035-173-gabR	ST18
WD0021-172-gabR	ST18
BD0035-PLM-gabR	ST2
BD0021-173-gabR	ST18
WD0035-PLM-gabR	ST2
WD180-9288-Sm1-gabR	ASV_gabR_62
WD180-9288-Sm2-gabR	ST2
WD180-9288-Sm3-gabR	ST2
WD163-9295-Sm-gabR	ST2
WD164-9295-Sm1-gabR	ST2
WD172-9295-Sm1-gabR	ST18
WD172-9295-Sm2-gabR	ST18
1-BB31-gabR	ST53
1-BB43-gabR	ST55
1-BB32-gabR	ST54
1-BB44-gabR	ST58
1-BB33-gabR	ST53
1-BB45-gabR	ST58
1-BB34-gabR	ST55
1-BB46-gabR	ST59
1-BB35-gabR	ST9
1-BB47-gabR	ST9
1-BB36-gabR	ST11
1-BB48-gabR	ST30
1-BB37-gabR	ST11
1-BB49-gabR	ST1
1-BB38-gabR	ST54
1-BB50-gabR	ST35
1-BB39-gabR	ST56
1-BB51-gabR	ST48
1-BB40-gabR	ST57
1-BB52-gabR	ST29
1-BB41-gabR	ST1
BWD152-1229-gabR	ST6
1-BB42-gabR	ST53
BWD1PLMR-1229-gabR	ST2
BWD179-1229-gabR	ST9
BWD1PLMS-1229-gabR	ST2
BWD153-1229-gabR	ASV_gabR_10
BWD173-1229-gabR	ST18
BWD152-1236-gabR	ST6
BWD1PLMR-1236-gabR	ST2
BWD164-1236-gabR	ST2
BWD1PLMR-1264-gabR	ST2
BWD164-1264-gabR	ST18
BWD179-1264-gabR	ST9
BWD1PLMS-1264-gabR	ST2
BWD1PLMR-1271-gabR	ST2
BWD164-1271-gabR	ST2
BWD179-1271-gabR	ST9
BWD1PLMS-1236-gabR	ST2
BWD158-1236-gabR	ST7
BWD1PLMR-1243-gabR	ST2
BWD179-1243-gabR	ST9
BWD1PLMS-1243-gabR	ST2
BWD1PLMR-1250-gabR	ST2
BWD164-1250-gabR	ST2
BWD1PLMS-1271-gabR	ST2
BWD1PLMR-1278-gabR	ST2
BWD164-1278-gabR	ST2
BWD179-1278-gabR	ST9
BWD1PLMS-1278-gabR	ST2
BWD153-1278-gabR	ASV_gabR_10
BWD155-1278-gabR	ST53
BWD179-1250-gabR	ST9
BWD1PLMS-1250-gabR	ST2
BWD153-1250-gabR	ASV_gabR_10
BWD172-1250-gabR	ST18
BWD173-1250-gabR	ST18
BWD1PLMR-1257-gabR	ST2
BWD164-1257-gabR	ST2
BWD172-1278-gabR	ST18
BWD173-1278-gabR	ST18
BWD155-1285-gabR	ST53
BWD155-1292-gabR	ST9
BWD173-1292-gabR	ST18
BWD155-1301-gabR	ST9
BWD173-1301-gabR	ST18
BWD179-1257-gabR	ST9
BWD1PLMS-1257-gabR	ST2
BWD133-1264-gabR	ASV_gabR_13
BWD155-1306-gabR	ST9
BWD118-1313-gabR	ASV_gabR_13
BWD160-1313-gabR	ST58
BWD161-1313-gabR	ST2
BD164-0014-gabR	ST2
WD164-0042-gabR	ST2
WD164-0014-gabR	ST2
BD180-0042-gabR	ST2
BD163-0028-gabR	ST2
WD180-0042-gabR	ST2
WD163-0028-gabR	ST2
BD172-0049-gabR	ST18
BD164-0028-gabR	ST2
WD172-0049-gabR	ST18
WD164-0028-gabR	ST2
BD1PLM-0049-gabR	ST2
BD152-0042-gabR	ST21
WD1PLM-0049-gabR	ST2
WD152-0042-gabR	ST21
WD155-0042-gabR	ST9
BD163-0042-gabR	ST2
BD163-0014-gabR	ST2
WD163-0042-gabR	ST2
WD163-0014-gabR	ST2
BD164-0042-gabR	ST2
1-BB6-gabR	ST46
1-BB17-gabR	ST35
1-BB29-gabR	ST45
1-BB7-gabR	ST17
1-BB18-gabR	ST9
1-BB30-gabR	ST48
1-BB8-gabR	ST17
1-BB19-gabR	ST44
1-BB9-gabR	ST47
1-BB20-gabR	ST52
1-BB10a-gabR	ST9
1-BB21-gabR	ST50
1-BB10b-gabR	ST9
1-BB22-gabR	ST44
1-BB11-gabR	ST9
1-BB23-gabR	ST43
1-BB1a-gabR	ST35
1-BB12-gabR	ST9
1-BB24-gabR	ST17
1-BB2-gabR	ST35
1-BB13-gabR	ST9
1-BB25-gabR	ST35
1-BB3-gabR	ST35
1-BB14-gabR	ST9
1-BB26-gabR	ST43
1-BB4-gabR	ST35
1-BB15-gabR	ST9
